鄉鎮市區,交易標的,土地區段位置建物區段門牌,土地移轉總面積平方公尺,都市土地使用分區,非都市土地使用分區,非都市土地使用編定,交易年月日,交易筆棟數,移轉層次,總樓層數,建物型態,主要用途,主要建材,建築完成年月,建物移轉總面積平方公尺,建物現況格局-房,建物現況格局-廳,建物現況格局-衛,建物現況格局-隔間,有無管理組織,總價元,單價元平方公尺,車位類別,車位移轉總面積(平方公尺),車位總價元,備註,編號,主建物面積,附屬建物面積,陽台面積,電梯
The villages and towns urban district,transaction sign,land sector position building sector house number plate,land shifting total area square meter,the use zoning or compiles and checks,the non-metropolis land use district,non-metropolis land use,transaction year month and day,transaction pen number,shifting level,total floor number,building state,main use,main building materials,construction to complete the years,building shifting total area,Building present situation pattern - room,building present situation pattern - hall,building present situation pattern - health,building present situation pattern - compartmented,Whether there is manages the organization,total price NTD,the unit price (NTD / square meter),the berth category,berth shifting total area square meter,the berth total price NTD,the note,serial number,,,,
嘉義市,房地(土地+建物),大雅路一段368巷181~210號,108.95,都市：其他:農業區,,,1091021,土地5建物1車位0,全,四層,透天厝,見其他登記事項,見其他登記事項,1090217,222.38000000000002,4,2,5,有,無,13800000,62056,,0.0,0,,RPSNMLLKJIPFFAI28DA,210.35,0.0,11.95,無
嘉義市,房地(土地+建物),興雅路31~60號,12.32,都市：其他:商業區,,,1091010,土地1建物1車位0,四層,九層,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,0820823,108.69,3,2,2,有,有,3750000,34502,,0.0,0,,RPWNMLLKJIPFFAI68DA,73.24,0.0,7.27,有
嘉義市,房地(土地+建物),遠東街51巷24弄1~30號,333.0,都市：其他:住宅區,,,1091021,土地5建物1車位0,全,二層,透天厝,住家用,木造,0570730,96.22,3,1,2,有,無,9000000,93536,,0.0,0,親友、員工、共有人或其他特殊關係間之交易;,RPOOMLLKJIPFFAI97DA,96.22,0.0,0.0,無
嘉義市,房地(土地+建物),永康三街1~30號,24.19,都市：其他:住宅區,,,1091010,土地2建物1車位0,四層,七層,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,0810630,140.84,3,2,2,有,有,4380000,31099,,0.0,0,,RPROMLLKJIPFFAI28DA,100.42,0.0,10.57,有
嘉義市,土地,竹圍子段31~60地號,211.0,都市：其他:住宅區,,,1091102,土地1建物0車位0,,,其他,,,,0.0,0,0,0,有,無,15316800,72591,,0.0,0,,RPRNMLMKJIPFFAI28DA,0.0,0.0,0.0,無
嘉義市,土地,港子坪段1~30地號,181.0,都市：其他:住宅區,,,1091020,土地1建物0車位0,,,其他,,,,0.0,0,0,0,有,無,13750000,75967,,0.0,0,,RPPNMLLKJIPFFAI97DA,0.0,0.0,0.0,無
嘉義市,房地(土地+建物)+車位,民權路1~30號,18.34,都市：其他:住宅區,,,1091006,土地1建物1車位1,十層,十六層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0870421,138.75,3,2,2,有,有,6500000,46847,坡道機械,0.0,0,,RPQNMLLKJIPFFAI08DA,83.62,0.0,9.47,有
嘉義市,房地(土地+建物),湖美二路391~420號,111.92,都市：其他:住宅區,,,1091015,土地1建物1車位0,全,四層,透天厝,見其他登記事項,見其他登記事項,1081225,198.72,4,3,4,有,無,14600000,73470,,0.0,0,親友、員工、共有人或其他特殊關係間之交易;,RPWNMLTJJIPFFAI76DA,176.94,0.0,21.78,無
嘉義市,房地(土地+建物),大富路331~360號,185.68,都市：其他:農業區,,,1090904,土地2建物1車位0,全,四層,透天厝,見其他登記事項,見其他登記事項,1081216,288.58,4,3,5,有,無,22600000,78315,,0.0,0,陽台外推;,RPPNMLRJJIPFFAI48DA,267.54,0.0,21.04,無
嘉義市,房地(土地+建物),健康十六街31~60號,115.0,都市：其他:住宅區,,,1091011,土地1建物1車位0,全,四層,透天厝,住家用,見其他登記事項,1090603,213.26,4,3,5,有,無,12800000,60021,,0.0,0,,RPTNMLTJJIPFFAI09DA,191.38,0.0,21.88,無
