鄉鎮市區,交易標的,土地區段位置建物區段門牌,土地移轉總面積平方公尺,都市土地使用分區,非都市土地使用分區,非都市土地使用編定,交易年月日,交易筆棟數,移轉層次,總樓層數,建物型態,主要用途,主要建材,建築完成年月,建物移轉總面積平方公尺,建物現況格局-房,建物現況格局-廳,建物現況格局-衛,建物現況格局-隔間,有無管理組織,總價元,單價元平方公尺,車位類別,車位移轉總面積(平方公尺),車位總價元,備註,編號,主建物面積,附屬建物面積,陽台面積,電梯
The villages and towns urban district,transaction sign,land sector position building sector house number plate,land shifting total area square meter,the use zoning or compiles and checks,the non-metropolis land use district,non-metropolis land use,transaction year month and day,transaction pen number,shifting level,total floor number,building state,main use,main building materials,construction to complete the years,building shifting total area,Building present situation pattern - room,building present situation pattern - hall,building present situation pattern - health,building present situation pattern - compartmented,Whether there is manages the organization,total price NTD,the unit price (NTD / square meter),the berth category,berth shifting total area square meter,the berth total price NTD,the note,serial number,,,,
官田區,房地(土地+建物),隆本里中山路二段68巷1~30號,76.8,,鄉村區,乙種建築用地,1090928,土地4建物1車位0,全,三層,透天厝,住家用,見其他登記事項,1041027,84.48,4,2,3,有,無,3575000,42318,,0.0,0,親友、員工、共有人或其他特殊關係間之交易;,RPVNMLPJJIPFFFD88DA,0.0,0.0,0.0,無
大內區,土地,大內段3331~3360地號,2475.0,,一般農業區,農牧用地,1091103,土地2建物0車位0,,,其他,,,,0.0,0,0,0,有,無,1386000,560,,0.0,0,親友、員工、共有人或其他特殊關係間之交易;,RPPNMLQJJIPFFFD38DA,0.0,0.0,0.0,無
麻豆區,土地,磚子井段451~480地號,6018.33,,一般農業區,農牧用地,1091015,土地3建物0車位0,,,其他,,,,0.0,0,0,0,有,無,5600000,930,,0.0,0,,RPRNMLSJJIPFFFD78DA,0.0,0.0,0.0,無
官田區,土地,西庄段691~720地號,424.8,,特定農業區,農牧用地,1090922,土地1建物0車位0,,,其他,,,,0.0,0,0,0,有,無,270000,636,,0.0,0,地清或未辦繼承標售;,RPRNMLTJJIPFFFD88DA,0.0,0.0,0.0,無
下營區,土地,茅港尾段4231~4260地號,161.67,,特定農業區,甲種建築用地,1091103,土地1建物0車位0,,,其他,,,,0.0,0,0,0,有,無,520000,3216,,0.0,0,親友、員工、共有人或其他特殊關係間之交易;,RPSNMLTJJIPFFFD98DA,0.0,0.0,0.0,無
將軍區,房地(土地+建物),長榮61~90號,156.48,都市：其他:住宅區,,,1090901,土地2建物1車位0,全,二層,透天厝,見其他登記事項,鋼筋混凝土造,1090219,138.73,4,2,2,有,無,6500000,46854,,0.0,0,,RPUNMLQLIIPFFGD09DA,134.43,0.0,4.3,無
西港區,房地(土地+建物),新興街1~30號,16.45,都市：其他:住宅區,,,1091007,土地1建物1車位0,三層,八層,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,0841223,97.28,3,2,2,有,有,2150000,22101,,0.0,0,,RPRNMLOJJIPFFGD48DA,0.0,0.0,0.0,有
學甲區,土地,集和段751~780地號,62.15,都市：其他:計畫道路用地,,,1091028,土地20建物0車位0,,,其他,,,,0.0,0,0,0,有,無,464686,7477,,0.0,0,未登記建物;畸零地或有合併使用效益;,RPUPMLQJJIPFFGD56DA,0.0,0.0,0.0,無
佳里區,房地(土地+建物),同安寮91~120號,91.0,,鄉村區,乙種建築用地,1080328,土地1建物1車位0,全,三層,透天厝,住家用,鋼筋混凝土造,1090605,174.32,5,2,5,有,無,7630000,43770,,0.0,0,預售屋、或土地及建物分次登記案件;,RPOPMLOJJIPFFGD38DA,0.0,0.0,0.0,無
西港區,土地,八分段1261~1290地號,1245.0,,特定農業區,農牧用地,1091019,土地1建物0車位0,,,其他,,,,0.0,0,0,0,有,無,1805250,1450,,0.0,0,,RPPNMLQJJIPFFGD48DA,0.0,0.0,0.0,無
佳里區,土地,佳化段151~180地號,250.09,,鄉村區,乙種建築用地,1091024,土地4建物0車位0,,,其他,,,,0.0,0,0,0,有,無,3336150,13340,,0.0,0,,RPQNMLTJJIPFFGD88DA,0.0,0.0,0.0,無
佳里區,房地(土地+建物),佳里興361~390號,90.55,,鄉村區,乙種建築用地,1091012,土地2建物1車位0,全,三層,透天厝,見其他登記事項,鋼筋混凝土造,1090721,144.76,4,2,3,有,無,6600000,45593,,0.0,0,,RPTNMLTJJIPFFGD56DA,133.72,0.0,11.02,無
七股區,土地,建功段91~120地號,135.7,,鄉村區,乙種建築用地,1091020,土地1建物0車位0,,,其他,,,,0.0,0,0,0,有,無,1149000,8467,,0.0,0,親友、員工、共有人或其他特殊關係間之交易;,RPUNMLTJJIPFFGD66DA,0.0,0.0,0.0,無
西港區,房地(土地+建物),後營151~180號,76.05,,鄉村區,乙種建築用地,1091009,土地1建物1車位0,全,四層,透天厝,住家用,鋼筋混凝土造,1090513,160.42,4,2,3,有,無,7000000,43635,,0.0,0,,RPOOMLNKJIPFFGD28DA,145.86,0.0,14.56,無
善化區,土地,善文段451~480地號,40.26,都市：其他:計畫道路用地,,,1090902,土地3建物0車位0,,,其他,,,,0.0,0,0,0,有,無,260000,6458,,0.0,0,包含公共設施保留地用地;,RPSQMLNKIIPFFHD88DA,0.0,0.0,0.0,無
安定區,土地,海寮段1171~1200地號,1222.0,,特定農業區,農牧用地,1091009,土地1建物0車位0,,,其他,,,,0.0,0,0,0,有,無,6850000,5606,,0.0,0,,RPUNMLOKIIPFFHD88DA,0.0,0.0,0.0,無
新市區,房地(土地+建物)+車位,大營241~270號,31.06,,鄉村區,乙種建築用地,1090803,土地1建物1車位1,五層,六層,華廈(10層含以下有電梯),見其他登記事項,鋼筋混凝土造,1090901,115.13,3,2,2,有,無,5250000,42981,一樓平面,12.76,850000,,RPRNMLMLIIPFFHD48DA,73.8,0.0,7.71,有
新市區,房地(土地+建物),大營241~270號,25.3,,鄉村區,乙種建築用地,1090817,土地1建物1車位0,四層,六層,華廈(10層含以下有電梯),見其他登記事項,鋼筋混凝土造,1090901,84.10999999999999,2,2,1,有,無,3600000,42801,,0.0,0,,RPSNMLMLIIPFFHD58DA,60.61,0.0,6.46,有
善化區,房地(土地+建物),蓮潭南街350巷6弄1~30號,152.1,都市：其他:生活服務區(第一種住宅區),,,1081202,土地5建物1車位0,全,三層,透天厝,見其他登記事項,鋼筋混凝土造,1090110,204.72,4,2,5,有,無,13300000,64967,,0.0,0,,RPTOMLMLIIPFFHD78DA,185.78,0.0,18.9,無
善化區,土地,善西段331~360地號,108.22,都市：其他:計畫道路用地,,,1091029,土地2建物0車位0,,,其他,,,,0.0,0,0,0,有,無,2454000,22676,,0.0,0,,RPTNMLTLIIPFFHD76DA,0.0,0.0,0.0,無
新市區,土地,大社段2521~2550地號,775.0,,鄉村區,乙種建築用地,1090527,土地2建物0車位0,,,其他,,,,0.0,0,0,0,有,無,16420000,21187,,0.0,0,,RPOOMLKMIIPFFHD18DA,0.0,0.0,0.0,無
