編號,屋齡,建物移轉面積平方公尺,主要用途,主要建材,建築完成日期,總層數,建物分層
The serial number,room age,building shifting area square meter,the main use,main building materials,construction completes the date,total layer,building lamination
RPUNMLKKJIPFFAI48EA,,165.12,見其他登記事項,見其他登記事項,109年8月3日,三層,一層 二層 三層 見其他登記事項
RPQQMLTJJIPFFAI09DA,3,195.78,見其他登記事項,見其他登記事項,106年6月28日,十層,一層 二層
RPQQMLTJJIPFFAI09DA,3,3.88,見其他登記事項,見其他登記事項,106年6月28日,十層,一層 見其他登記事項
RPQQMLTJJIPFFAI09DA,3,52.41,見其他登記事項,見其他登記事項,106年6月28日,十層,
RPQQMLTJJIPFFAI09DA,3,.70,見其他登記事項,見其他登記事項,106年6月28日,十層,
RPOOMLTJJIPFFAI68DA,37,32.77,住家用,鋼筋混凝土造,72年7月8日,五層,五層
RPOOMLTJJIPFFAI68DA,37,4.04,共有部份,鋼筋混凝土造,72年7月8日,五層,
RPOOMLTJJIPFFAI68DA,37,2.47,共有部份,鋼筋混凝土造,72年7月8日,五層,
RPWOMLKKJIPFFAI68DA,16,54.13,住家用,鋼筋混凝土造,93年11月3日,十四層,十一層
RPWOMLKKJIPFFAI68DA,16,54.13,住家用,鋼筋混凝土造,93年11月3日,十四層,十一層
RPWOMLKKJIPFFAI68DA,16,37.69,共有部份,鋼筋混凝土造,93年11月3日,十四層,
RPWOMLKKJIPFFAI68DA,16,37.69,共有部份,鋼筋混凝土造,93年11月3日,十四層,
RPTNMLLKJIPFFAI38DA,23,101.42,住家用,鋼筋混凝土造,86年7月9日,九層,三層 四層
RPTNMLLKJIPFFAI38DA,23,34.59,共有部份,鋼筋混凝土造,86年7月9日,九層,
RPPOMLTJJIPFFAI78DA,23,222.42,住家用,鋼筋混凝土造,86年10月15日,五層,一層 二層 三層 四層 五層
RPVOMLKKJIPFFAI58DA,27,99.03,住家用,鋼筋混凝土造,82年12月23日,十二層,十二層
RPVOMLKKJIPFFAI58DA,27,9.67,共有部份,鋼筋混凝土造,82年12月23日,十二層,
RPVOMLKKJIPFFAI58DA,27,1.02,共有部份,鋼筋混凝土造,82年12月23日,十二層,
RPVOMLKKJIPFFAI58DA,27,15.81,共有部份,鋼筋混凝土造,82年12月23日,十二層,
