鄉鎮市區,交易標的,土地區段位置建物區段門牌,土地移轉總面積平方公尺,都市土地使用分區,非都市土地使用分區,非都市土地使用編定,交易年月日,交易筆棟數,移轉層次,總樓層數,建物型態,主要用途,主要建材,建築完成年月,建物移轉總面積平方公尺,建物現況格局-房,建物現況格局-廳,建物現況格局-衛,建物現況格局-隔間,有無管理組織,總價元,單價元平方公尺,車位類別,車位移轉總面積(平方公尺),車位總價元,備註,編號,主建物面積,附屬建物面積,陽台面積,電梯
The villages and towns urban district,transaction sign,land sector position building sector house number plate,land shifting total area square meter,the use zoning or compiles and checks,the non-metropolis land use district,non-metropolis land use,transaction year month and day,transaction pen number,shifting level,total floor number,building state,main use,main building materials,construction to complete the years,building shifting total area,Building present situation pattern - room,building present situation pattern - hall,building present situation pattern - health,building present situation pattern - compartmented,Whether there is manages the organization,total price NTD,the unit price (NTD / square meter),the berth category,berth shifting total area square meter,the berth total price NTD,the note,serial number,,,,
大寮區,土地,王厝段661~690地號,25.39,都市：其他:河川區,,,1091030,土地1建物0車位0,,,其他,,,,0.0,0,0,0,有,無,225971,8900,,0.0,0,,SPTPMLPLRHPFFLE97DA,0.0,0.0,0.0,無
仁武區,土地,地號61~90地號,2676.26,非都市： ; 非都市編定：,,,1090910,土地2建物0車位0,,,其他,,,,0.0,0,0,0,有,無,259050000,96796,,0.0,0,,RPQPMLLKJIPFFIE68DA,0.0,0.0,0.0,無
鳥松區,土地,大竹段541~570地號,1.2,都市：其他:道路用地,,,1091109,土地1建物0車位0,,,其他,,,,0.0,0,0,0,有,無,20000,16667,,0.0,0,,RPSPMLTJJIPFFIE96DA,0.0,0.0,0.0,無
鳥松區,房地(土地+建物),大昌路571~600號,155.0,都市：其他:第二種住宅區,,,1091015,土地1建物1車位0,全,三層,透天厝,見其它登記事項,鋼筋混凝土造,0930112,223.36,7,2,4,有,無,21100000,94466,,0.0,0,露台、天井、頂樓增建及1樓空地增建。,RPXNMLKKJIPFFIE09DA,190.67,20.42,12.27,無
鳥松區,土地,大竹段541~570地號,0.71,都市：其他:道路用地,,,1091110,土地1建物0車位0,,,其他,,,,0.0,0,0,0,有,無,11000,0,,0.0,0,,RPOOMLKKJIPFFIE28DA,0.0,0.0,0.0,無
仁武區,房地(土地+建物)+車位,京吉五路1~30號,22.46,都市：其他:社區中心商業區,,,1090929,土地1建物1車位1,十一層,十八層,住宅大樓(11層含以上有電梯),見其它登記事項,見其它登記事項,1090624,173.82999999999998,3,2,2,有,有,8900000,53668,坡道平面,33.71,1380000,,RPXQMLTJJIPFFIE57DA,78.82,0.0,10.24,有
仁武區,房地(土地+建物),京富路30巷13弄1~30號,139.85,都市：其他:第四種住宅區,,,1091016,土地3建物1車位0,全,三層,透天厝,見其它登記事項,鋼筋混凝土造,0931227,182.07,5,2,3,有,有,13100000,71950,,0.0,0,,RPWOMLRLIIPFFIE17DA,171.49,0.0,10.58,無
旗山區,土地,旗山段一小段31~60地號,263.0,,山坡地保育區,林業用地,1091102,土地2建物0車位0,,,其他,,,,0.0,0,0,0,有,無,500000,1901,,0.0,0,,RPRNMLRKJIPFFHE09DA,0.0,0.0,0.0,無
大社區,房地(土地+建物),金龍路46巷1~30號,167.0,都市：其他:住宅區(住二),,,1091015,土地3建物1車位0,全,四層,透天厝,住家用,鋼筋混凝土造,0820218,317.69,6,2,4,有,無,10100000,31792,,0.0,0,,RPUOMLPKIIPFFIE66DA,280.51,12.0,25.18,無
仁武區,土地,仁義段811~840地號,129.29,,一般農業區,農牧用地,1091020,土地1建物0車位0,,,其他,,,,0.0,0,0,0,有,無,3550000,27458,,0.0,0,,RPRNMLLLIIPFFIE58DA,0.0,0.0,0.0,無
