編號,屋齡,建物移轉面積平方公尺,主要用途,主要建材,建築完成日期,總層數,建物分層
The serial number,room age,building shifting area square meter,the main use,main building materials,construction completes the date,total layer,building lamination
RPPPMLNJJIPFFCD97DA,39,.09,見其他登記事項,鋼筋混凝土造,70年11月26日,五層,
RPPPMLNJJIPFFCD97DA,39,.09,見其他登記事項,鋼筋混凝土造,70年11月26日,五層,
RPPPMLNJJIPFFCD97DA,38,86.12,見其他登記事項,鋼筋混凝土造,71年11月29日,五層,三層
RPPPMLNJJIPFFCD97DA,38,6.30,共有部分,鋼筋混凝土造,71年11月29日,五層,
RPQNMLLKJIPFFCD77DA,46,150.16,住家用,加強磚造,63年10月18日,二層,一層 二層
RPUNMLLKJIPFFCD18DA,27,13.14,共有部分,鋼筋混凝土造,82年6月11日,八層,
RPUNMLLKJIPFFCD18DA,27,40.80,住家用,鋼筋混凝土造,82年6月11日,八層,四層
RPQPMLTJJIPFFCD68DA,21,54.81,住家用,鋼筋混凝土造,88年8月2日,十四層,十三層
RPQPMLTJJIPFFCD68DA,21,18.59,共有部分,鋼筋混凝土造,88年8月2日,十四層,
RPQPMLTJJIPFFCD68DA,21,5.99,共有部分,鋼筋混凝土造,88年8月2日,十四層,
RPTNMLLKJIPFFDD18DA,38,111.28,住家用,鋼筋混凝土造,71年6月1日,五層,三層
RPTNMLKKJIPFFCD97DA,41,146.58,住家用,鋼筋混凝土造,68年8月6日,三層,一層 二層 三層 屋頂突出物
RPWNMLTJJIPFFCD09DA,37,5.79,共有部分,鋼筋混凝土造,72年8月20日,五層,
RPWNMLTJJIPFFCD09DA,37,69.66,見其他登記事項,鋼筋混凝土造,72年8月20日,五層,一層
RPQNMLMKJIPFFED08DA,23,229.63,住商用,鋼筋混凝土造,86年12月1日,四層,一層 二層 三層 四層 騎樓
RPQNMLTJJIPFFBD38DA,26,111.74,住家用,鋼筋混凝土造,83年9月10日,四層,一層 二層 三層 四層 屋頂突出物 騎樓 夾層
