編號,屋齡,建物移轉面積平方公尺,主要用途,主要建材,建築完成日期,總層數,建物分層
The serial number,room age,building shifting area square meter,the main use,main building materials,construction completes the date,total layer,building lamination
RPWRMLNKIIPFFHF07CC,42,106.36,商業用,鋼筋混凝土造,67年12月28日,五層,
RPUQMLNKIIPFFGF66CC,4,61.91,見其他登記事項,鋼筋混凝土造,105年10月18日,十四層,
RPUQMLNKIIPFFGF66CC,4,21.98,見其他登記事項,鋼筋混凝土造,105年10月18日,十四層,
RPUQMLNKIIPFFGF66CC,4,4.21,見其他登記事項,鋼筋混凝土造,105年10月18日,十四層,
RPSQMLNKIIPFFGF09CC,39,83.22,見其他登記事項,鋼筋混凝土造,70年6月5日,四層,
RPTPMLNKIIPFFDF78CC,14,40.09,住家用,鋼筋混凝土造,96年1月30日,十二層,
RPRPMLNKIIPFFDF58CC,24,36.94,住家用,鋼筋混凝土造,85年10月9日,十八層,
RPRPMLNKIIPFFDF58CC,24,10.65,見其他登記事項,鋼筋混凝土造,85年10月9日,十八層,
RPPQMLNKIIPFFDF48CC,1,39.29,見其他登記事項,見其他登記事項,108年11月18日,十層,
RPPQMLNKIIPFFDF48CC,1,24.85,見其他登記事項,見其他登記事項,108年11月18日,十層,
RPSPMLNKIIPFFCF58CC,31,132.39,住家用,鋼筋混凝土造,78年11月18日,五層,
RPSPMLNKIIPFFCF58CC,31,15.57,共有部分,鋼筋混凝土造,78年11月18日,五層,
RPWQMLNKIIPFFGF86CC,28,25.35,商業用,鋼筋混凝土造,81年7月16日,十二層,
RPWQMLNKIIPFFGF86CC,28,2.69,共有部份,鋼筋混凝土造,81年7月16日,十二層,
RPRRMLNKIIPFFDF78CC,26,70.94,住家用,鋼筋混凝土造,84年3月20日,十七層,
RPRRMLNKIIPFFDF78CC,26,11.09,見其他登記事項,鋼筋混凝土造,84年3月20日,十九層,
RPRRMLNKIIPFFDF78CC,26,1.44,見其他登記事項,鋼筋混凝土造,84年3月20日,十九層,
RPUOMLMKIIPFFCF58CC,21,134.77,見其他登記事項,鋼筋混凝土造,89年1月26日,十四層,
RPUOMLMKIIPFFCF58CC,21,52.83,共有部分,鋼筋混凝土造,89年1月26日,十四層,
RPUOMLMKIIPFFCF58CC,21,38.57,見其他登記事項,鋼筋混凝土造,89年1月26日,十四層,
RPUOMLMKIIPFFCF58CC,21,13.79,共有部分,鋼筋混凝土造,89年1月26日,十四層,
RPRSMLNKIIPFFGF56CC,3,35.51,見其他登記事項,鋼筋混凝土造,106年4月5日,十二層,
RPQRMLNKIIPFFEF78CC,3,58.92,住家用,鋼筋混凝土造,106年12月29日,二十七層,
RPRSMLNKIIPFFGF56CC,3,15.21,見其他登記事項,鋼筋混凝土造,106年4月5日,十二層,
RPQRMLNKIIPFFEF78CC,3,42.74,見其他登記事項,鋼筋混凝土造,106年12月29日,二十七層,
RPWQMLNKIIPFFBF98CC,5,49.28,見其他登記事項,鋼筋混凝土造,104年8月20日,十五層,
RPWQMLNKIIPFFBF98CC,5,10.77,見其他登記事項,鋼筋混凝土造,104年8月20日,十五層,
RPWQMLNKIIPFFBF98CC,5,39.48,見其他登記事項,鋼筋混凝土造,104年8月20日,十五層,
RPXVMLNKIIPFFBF96CC,31,584.65,見其他登記事項,鋼筋混凝土造,78年11月20日,六層,
RPQOMLNKIIPFFEF48CC,3,53.39,住家用,鋼筋混凝土造,106年11月28日,十九層,
RPQOMLNKIIPFFEF48CC,3,3.79,住家用,鋼筋混凝土造,106年11月28日,十九層,
RPQOMLNKIIPFFEF48CC,3,4.30,住家用,鋼筋混凝土造,106年11月28日,十九層,
RPQOMLNKIIPFFEF48CC,3,33.04,見其他登記事項,鋼筋混凝土造,106年11月28日,十九層,
RPQOMLNKIIPFFEF48CC,3,6.23,見其他登記事項,鋼筋混凝土造,106年11月28日,十九層,
RPVOMLOKIIPFFBF78CC,11,61.60,見其他登記事項,鋼筋混凝土造,99年1月4日,十三層,
RPVOMLOKIIPFFBF78CC,11,36.78,見其他登記事項,鋼筋混凝土造,99年1月4日,十三層,
RPVOMLOKIIPFFBF78CC,11,9.73,見其他登記事項,鋼筋混凝土造,99年1月4日,十三層,
RPVRMLNKIIPFFHF96CC,23,52.24,商業用,鋼筋混凝土造,86年9月10日,十七層,
RPPPMLOKIIPFFBF28CC,7,97.95,見其他登記事項,鋼筋混凝土造,102年4月15日,十九層,
RPPPMLOKIIPFFBF28CC,7,62.37,見其他登記事項,鋼筋混凝土造,102年4月15日,十九層,
RPWOMLOKIIPFFBF88CC,12,99.93,見其他登記事項,鋼筋混凝土造,97年8月8日,十二層,
RPWOMLOKIIPFFBF88CC,12,26.57,共有部份,鋼筋混凝土造,97年8月8日,十三層,
RPWOMLOKIIPFFBF88CC,12,19.48,共有部份,鋼筋混凝土造,97年8月8日,十二層,
RPWQMLOKIIPFFBF09CC,7,78.90,見其他登記事項,鋼筋混凝土造,102年7月18日,六層,
RPWQMLOKIIPFFBF09CC,7,33.71,見其他登記事項,鋼筋混凝土造,102年7月18日,十三層,
RPQSMLOKIIPFFBF68CC,9,90.68,見其他登記事項,鋼筋混凝土造,101年1月18日,二層,
RPQSMLOKIIPFFBF68CC,9,38.88,見其他登記事項,鋼筋混凝土造,101年1月18日,十四層,
RPRVMLNKIIPFFBF98CC,7,120.52,見其他登記事項,鋼筋混凝土造,102年12月13日,二十五層,
RPRVMLNKIIPFFBF98CC,7,25.01,見其他登記事項,鋼筋混凝土造,102年12月13日,二十五層,
