鄉鎮市區,交易標的,土地區段位置建物區段門牌,土地移轉總面積平方公尺,都市土地使用分區,非都市土地使用分區,非都市土地使用編定,交易年月日,交易筆棟數,移轉層次,總樓層數,建物型態,主要用途,主要建材,建築完成年月,建物移轉總面積平方公尺,建物現況格局-房,建物現況格局-廳,建物現況格局-衛,建物現況格局-隔間,有無管理組織,總價元,單價元平方公尺,車位類別,車位移轉總面積(平方公尺),車位總價元,備註,編號,主建物面積,附屬建物面積,陽台面積,電梯
The villages and towns urban district,transaction sign,land sector position building sector house number plate,land shifting total area square meter,the use zoning or compiles and checks,the non-metropolis land use district,non-metropolis land use,transaction year month and day,transaction pen number,shifting level,total floor number,building state,main use,main building materials,construction to complete the years,building shifting total area,Building present situation pattern - room,building present situation pattern - hall,building present situation pattern - health,building present situation pattern - compartmented,Whether there is manages the organization,total price NTD,the unit price (NTD / square meter),the berth category,berth shifting total area square meter,the berth total price NTD,the note,serial number,,,,
板橋區,土地,板翠段31~60地號,28.72,都市：其他:第二種住宅區,,,1091022,土地1建物0車位0,,,其他,,,,0.0,0,0,0,有,無,9382796,326699,,0.0,0,,RPWOMLQJJIPFFAF88DA,0.0,0.0,0.0,無
板橋區,房地(土地+建物)+車位,府中路31~60號,7.93,都市：其他:商業區,,,1090828,土地1建物1車位1,五層,十五層,住宅大樓(11層含以上有電梯),見其他登記事項,鋼筋混凝土造,1071205,104.72,3,1,1,有,有,17000000,162338,升降機械,11.6,0,,RPQPMLQJJIPFFAF38DA,49.43,6.66,4.34,有
板橋區,房地(土地+建物)+車位,三民路一段61~90號,32.96,都市：其他:乙種工業區,,,1091103,土地1建物1車位1,三層,十層,華廈(10層含以下有電梯),工商用,鋼筋混凝土造,0800718,296.25,4,1,2,有,有,25000000,84388,升降機械,0.0,0,,RPRPMLQJJIPFFAF48DA,213.37,0.9,27.6,有
板橋區,房地(土地+建物),新府路121~150號,2.69,都市：其他:第二種特定專用區,,,1091019,土地1建物1車位0,五層,二十四層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0971119,38.230000000000004,1,1,1,有,有,7550000,197489,,0.0,0,夾層;其他增建;,RPQNMLRJJIPFFAF28DA,23.4,0.0,1.62,有
板橋區,房地(土地+建物),裕民街133巷1~30號,23.89,都市：其他:住宅區,,,1091027,土地1建物1車位0,九層,十層,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,0780410,155.09,4,2,2,有,有,3710768,23927,,0.0,0,親友、員工、共有人或其他特殊關係間之交易;,RPROMLTJJIPFFAF68DA,117.77,0.0,17.86,有
板橋區,房地(土地+建物),民生路三段301~330號,1.49,都市：其他:住宅區,,,1091011,土地1建物1車位0,十七層,三十七層,住宅大樓(11層含以上有電梯),住家用,鋼骨鋼筋混凝土造,0950914,44.03,1,1,1,有,有,6760000,153532,,0.0,0,陽台外推;,RPUPMLTJJIPFFAF09DA,19.9,0.0,8.63,有
板橋區,土地,民權段601~630地號,5.35,都市：其他:道路用地,,,1091029,土地1建物0車位0,,,其他,,,,0.0,0,0,0,有,無,731600,136748,,0.0,0,包含公共設施保留地用地;,RPQOMLKKJIPFFAF77DA,0.0,0.0,0.0,無
林口區,房地(土地+建物)+車位,文明街121~150號,35.95,都市：其他:第二種住宅區,,,1090629,土地1建物1車位2,十五層,十五層,住宅大樓(11層含以上有電梯),見其他登記事項,鋼筋混凝土造,1090106,192.19,3,2,2,有,有,18450000,106861,坡道平面,54.16,3700000,,RPUWMLRLPHPFFBF77DA,78.58,5.18,9.72,有
新莊區,房地(土地+建物),中平路270巷1~30號,10.88,都市：其他:住宅區,,,1090824,土地1建物1車位0,五層,十六層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0841018,77.44999999999999,3,1,1,有,有,8760000,113105,,0.0,0,,RPXRMLKKRHPFFBF96DA,47.03,0.0,7.2,有
林口區,房地(土地+建物)+車位,文化二路一段68巷1~30號,28.44,都市：其他:第五種住宅區,,,1090927,土地1建物1車位1,二層,十一層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0850126,153.99,4,2,1,有,有,7940000,51562,坡道平面,0.0,0,陽台外推;夾層;其他增建;,RPUOMLSLRHPFFBF27DA,49.97,50.27,7.36,有
