鄉鎮市區,交易標的,土地區段位置建物區段門牌,土地面積平方公尺,都市土地使用分區,非都市土地使用分區,非都市土地使用編定,租賃年月日,租賃筆棟數,租賃層次,總樓層數,建物型態,主要用途,主要建材,建築完成年月,建物總面積平方公尺,建物現況格局-房,建物現況格局-廳,建物現況格局-衛,建物現況格局-隔間,有無管理組織,有無附傢俱,總額元,單價元平方公尺,車位類別,車位面積平方公尺,車位總額元,備註,編號
The villages and towns urban district,transaction sign,land sector position building sector house number plate,land shifting total area square meter,the use zoning or compiles and checks,the non-metropolis land use district,non-metropolis land use,transaction year month and day,transaction pen number,shifting level,total floor number,building state,main use,main building materials,construction to complete the years,building shifting total area,Building present situation pattern - room,building present situation pattern - hall,building present situation pattern - health,building present situation pattern - compartmented,Whether there is manages the organization,Whether there is attaches the furniture,total price NTD,the unit price (NTD / square meter),the berth category,berth shifting total area square meter,the berth total price NTD,the note,serial number
大安區,建物,臺北市大安區光復南路661~690號,0.0,商,,,1090924,土地0建物1車位0,四層,14,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,1060515,91.92,2,1,1,有,無,有,62780,683,,0.0,0,,RPTNMLNKIIPFFFA28CC
士林區,建物,臺北市士林區延平北路五段1~30號,0.0,商,,,1090917,土地0建物1車位0,一層,5,公寓(5樓含以下無電梯),見使用執照,鋼筋混凝土造,0710930,91.88,0,2,1,有,無,無,40000,435,,0.0,0,含增建或未登記建物。;作辦公室使用。111/5/1-112/10/31租金調整為42000元。,RPRNMLNKIIPFFEA97CC
士林區,建物,臺北市士林區忠誠路一段121~150號,0.0,住,,,1090925,土地0建物1車位2,四層,14,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,1010605,394.59000000000003,4,2,3,有,有,有,158928,403,坡道平面,0.0,0,續租。;含管理費、稅金或水電等費用。;,RPSNMLNKIIPFFEA08CC
北投區,建物,臺北市北投區石牌路一段166巷46弄1~30號,0.0,住,,,1090928,土地0建物1車位0,七層,7,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,1001108,147.8,3,2,2,有,有,有,67500,457,,0.0,0,租賃範圍不含車位，且無法區分車位面積。;含管理費、稅金或水電等費用。;,RPTNMLNKIIPFFEA18CC
士林區,建物,臺北市士林區中山北路七段14巷31弄1~30號,0.0,住,,,1090929,土地0建物1車位1,四層,9,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,0990211,255.32,3,2,3,有,有,有,88000,345,坡道平面,36.69,0,,RPQOMLNKIIPFFEA97CC
北投區,建物,臺北市北投區復興三路152巷30弄1~30號,0.0,其他,,,1090924,土地0建物1車位1,全,1,透天厝,住家用,石造,0561220,209.09,7,3,4,有,無,有,70000,335,其他,0.0,0,,RPROMLNKIIPFFEA08CC
士林區,建物,臺北市士林區中山北路六段195巷1~30號,0.0,住,,,1091008,土地0建物1車位0,二層,14,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0970506,159.73,3,2,2,有,有,有,85000,532,,0.0,0,含管理費、稅金或水電等費用。;,RPSOMLNKIIPFFEA18CC
士林區,建物,臺北市士林區忠義街31~60號,0.0,住,,,1090928,土地0建物1車位0,三層,12,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,1050905,227.42,4,2,2,有,無,有,83000,365,,0.0,0,,RPWOMLNKIIPFFEA58CC
士林區,建物,臺北市士林區天母東路1~30號,0.0,商,,,1091006,土地0建物1車位0,六層,7,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,0780107,140.84,3,2,2,有,有,有,60000,426,,0.0,0,續租。;,RPUPMLNKIIPFFEA48CC
北投區,建物,臺北市北投區裕民二路61~90號,0.0,商,,,1091008,土地0建物1車位0,三層,19,住宅大樓(11層含以上有電梯),見其他登記事項,鋼筋混凝土造,1021108,97.53,2,2,1,有,有,有,45000,461,,0.0,0,續租。;,RPVPMLNKIIPFFEA58CC
