鄉鎮市區,交易標的,土地區段位置建物區段門牌,土地面積平方公尺,都市土地使用分區,非都市土地使用分區,非都市土地使用編定,租賃年月日,租賃筆棟數,租賃層次,總樓層數,建物型態,主要用途,主要建材,建築完成年月,建物總面積平方公尺,建物現況格局-房,建物現況格局-廳,建物現況格局-衛,建物現況格局-隔間,有無管理組織,有無附傢俱,總額元,單價元平方公尺,車位類別,車位面積平方公尺,車位總額元,備註,編號
The villages and towns urban district,transaction sign,land sector position building sector house number plate,land shifting total area square meter,the use zoning or compiles and checks,the non-metropolis land use district,non-metropolis land use,transaction year month and day,transaction pen number,shifting level,total floor number,building state,main use,main building materials,construction to complete the years,building shifting total area,Building present situation pattern - room,building present situation pattern - hall,building present situation pattern - health,building present situation pattern - compartmented,Whether there is manages the organization,Whether there is attaches the furniture,total price NTD,the unit price (NTD / square meter),the berth category,berth shifting total area square meter,the berth total price NTD,the note,serial number
新市區,房地(土地+建物)+車位,臺南市新市區仁愛街61~90號,24.51,住,,,1091010,土地1建物1車位1,七層,8,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,0830806,135.2,3,2,2,有,有,有,15000,111,坡道平面,10.87,0,,RPSNMLKLIIPFFHD48CC
新市區,建物,臺南市新市區光華街1~30號,0.0,其他,,,1091005,土地0建物1車位0,見其他登記事項,1,廠辦,見其他登記事項,見其他登記事項,1040430,173.83,0,0,2,有,無,有,45000,259,,0.0,0,,RPPOMLKLIIPFFHD28CC
新化區,建物,臺南市新化區中山路661~690號,0.0,住,,,1090922,土地0建物1車位0,全,2,透天厝,住家用,鋼筋混凝土造,0810507,116.81,5,2,2,有,無,無,25000,214,,0.0,0,,RPWOMLKLIIPFFHD98CC
東區,建物,臺南市東區富農街一段91~120號,0.0,住,,,1090928,土地0建物1車位0,全,3,透天厝,住家用,鋼筋混凝土造,0750206,154.27,2,0,2,有,無,有,21000,136,,0.0,0,,RPSNMLKLIIPFFCD97CC
東區,建物,臺南市東區崇明路241~270號,0.0,商,,,1090929,土地0建物1車位0,全,5,透天厝,住商用,鋼筋混凝土造,0771219,199.77,5,0,3,有,無,無,20000,100,,0.0,0,含增建或未登記建物。;,RPTNMLKLIIPFFCD08CC
東區,建物,臺南市東區衛國街114巷9弄1~30號,0.0,住,,,1090930,土地0建物1車位0,二層,7,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,0790921,39.97,1,0,1,有,有,有,5000,125,,0.0,0,,RPUNMLKLIIPFFCD18CC
東區,建物,臺南市東區大同路二段601~630號,0.0,商,,,1091016,土地0建物1車位0,五層,22,辦公商業大樓,商業用,鋼筋混凝土造,0790917,1515.9,0,1,2,有,無,無,85000,56,,0.0,0,,RPVNMLKLIIPFFCD28CC
東區,建物,臺南市東區光明街121~150號,0.0,住,,,1090929,土地0建物1車位0,全,2,透天厝,住家用,加強磚造,0570130,57.48,1,1,1,有,無,無,20000,348,,0.0,0,,RPWNMLKLIIPFFCD38CC
南區,建物,臺南市南區文南路61~90號,0.0,住,,,1090929,土地0建物0車位0,全,5,透天厝,見其他登記事項,鋼筋混凝土造,0751030,205.3,1,2,2,有,無,有,26000,127,,0.0,0,有電梯。部分承租。含水費。房屋用途做辦公室使用。,RPTOMLKLIIPFFCD18CC
永康區,土地,東邊寮段451~480地號,330.0,工,,,1090922,土地1建物0車位0,,,其他,,,,0.0,0,0,0,有,無,無,40000,121,,0.0,0,含增建或未登記建物。;承租地坪約100坪，承租未保存登記建物共約50坪。,RPXNMLKLIIPFFKD66CC
永康區,土地,東邊寮段451~480地號,330.57,工,,,1090923,土地1建物0車位0,,,其他,,,,0.0,0,0,0,有,無,無,40000,121,,0.0,0,含增建或未登記建物。;承租地坪約100坪，承租未保存登記建物共約50坪。,RPPOMLKLIIPFFKD58CC
永康區,建物,臺南市永康區大橋里中山南路471巷1~30號,0.0,工,,,1091013,土地0建物1車位0,全,2,透天厝,見其他登記事項,鋼筋混凝土造,0780815,430.41,0,0,0,無,無,無,37000,86,,0.0,0,辦公室出租,RPUOMLKLIIPFFKD09CC
永康區,房地(土地+建物)+車位,臺南市永康區中正北路91~120號,598.45,住,,,1091020,土地1建物1車位1,四層,5,辦公商業大樓,見其他登記事項,見其他登記事項,1010202,331.28,2,2,2,有,無,有,65000,196,坡道平面,0.0,0,,RPRPMLKLIIPFFKD88CC
永康區,土地,建國段31~60地號,165.28,農,,,1091009,土地1建物0車位0,,,其他,,,,0.0,0,0,0,有,無,無,15000,91,,0.0,0,含增建或未登記建物。;承租地坪約50坪，承租未保存登記建物約100坪。,RPSPMLKLIIPFFKD98CC
中西區,房地(土地+建物),臺南市中西區成功路241~270號,214.11,商,,,1091008,土地3建物1車位0,見其他登記事項,3,店面(店鋪),住商用,鋼筋混凝土造,0631130,112.75,0,0,0,無,無,無,28000,248,,0.0,0,,RPTOMLKLIIPFFAD08DC
仁德區,建物,臺南市仁德區太子路121~150號,0.0,住,,,1091019,土地0建物1車位0,全,5,透天厝,住家用,鋼筋混凝土造,0790220,64.74,0,0,1,有,無,無,15000,232,,0.0,0,含增建或未登記建物。;1.合約書無填具土地租賃面積.2.由所有權人提供出租資訊3.租賃面積含增建約178.52平方公尺,RPXNMLKLIIPFFID09CC
仁德區,房地(土地+建物),臺南市仁德區中山路10巷31~60號,1666.06,工,,,1090929,土地3建物1車位0,見其他登記事項,1,工廠,工業用,見其他登記事項,0971231,927.95,0,0,0,無,無,無,150000,,,0.0,0,含增建或未登記建物。;承租地坪約503坪，承租含未保存登記建物共約370坪。租賃期間：3年0個月33天。,RPROMLKLIIPFFID58CC
仁德區,土地,上崙段151~180地號,661.16,,一般農業區,農牧用地,1090929,土地1建物0車位0,,,其他,,,,0.0,0,0,0,有,無,無,45000,68,,0.0,0,含增建或未登記建物。;承租地坪約650坪，承租含未保存登記建物共約147坪。,RPSOMLKLIIPFFID68CC
