編號,屋齡,建物移轉面積平方公尺,主要用途,主要建材,建築完成日期,總層數,建物分層
The serial number,room age,building shifting area square meter,the main use,main building materials,construction completes the date,total layer,building lamination
RPROMLTKIIPFFAH98CC,26,21.45,共有部份,鋼筋混凝土造,84年2月25日,二十一層,
RPROMLTKIIPFFAH98CC,26,14.73,共有部份,鋼筋混凝土造,84年2月25日,二十三層,
RPTOMLPKIIPFFCH98CC,24,70.87,住家用,鋼筋混凝土造,86年1月30日,十二層,
RPTOMLPKIIPFFCH98CC,24,3.79,共有部份,鋼筋混凝土造,86年1月30日,十二層,
RPTOMLPKIIPFFCH98CC,24,.88,共有部份,鋼筋混凝土造,86年1月30日,十四層,
RPTOMLPKIIPFFCH98CC,24,.99,共有部份,鋼筋混凝土造,86年1月30日,十四層,
RPTOMLPKIIPFFCH98CC,24,.03,共有部份,鋼筋混凝土造,86年1月30日,一層,
RPTOMLPKIIPFFCH98CC,23,.01,見其他登記事項,鋼筋混凝土造,86年6月26日,十八層,
RPTOMLPKIIPFFCH98CC,23,.00,共有部份,鋼筋混凝土造,86年6月26日,一層,
RPTOMLPKIIPFFCH98CC,23,.05,見其他登記事項,鋼筋混凝土造,86年6月26日,十五層,
RPTOMLPKIIPFFCH98CC,24,2.17,見其他登記事項,鋼筋混凝土造,86年1月30日,十四層,
RPTOMLPKIIPFFCH98CC,24,.20,共有部份,鋼筋混凝土造,86年1月30日,十八層,
RPUPMLTKIIPFFAH76CC,2,25.66,見其他登記事項,鋼筋混凝土造,107年12月24日,七層,
RPUPMLTKIIPFFAH76CC,2,28.88,見其他登記事項,鋼筋混凝土造,107年12月24日,十三層,
RPUPMLTKIIPFFAH76CC,2,120.46,見其他登記事項,鋼筋混凝土造,107年12月24日,七層,
RPTOMLTKIIPFFFH07CC,15,87.72,住家用,鋼筋混凝土造,95年3月29日,十五層,
RPTOMLTKIIPFFFH07CC,15,15.75,共有部分,鋼筋混凝土造,95年3月29日,十五層,
RPTOMLTKIIPFFFH07CC,15,45.29,共有部分,鋼筋混凝土造,95年3月29日,十五層,
RPRQMLTKIIPFFAH56CC,16,44.13,住家用,鋼筋混凝土造,93年12月31日,十四層,
RPRQMLTKIIPFFAH56CC,16,9.76,共有部份,鋼筋混凝土造,93年12月31日,十四層,
RPRQMLTKIIPFFAH56CC,16,7.27,共有部份,鋼筋混凝土造,93年12月31日,十四層,
RPQPMLTKIIPFFAH98CC,40,99.12,見其他登記事項,鋼造,69年8月2日,一層,
