鄉鎮市區,交易標的,土地區段位置建物區段門牌,土地面積平方公尺,都市土地使用分區,非都市土地使用分區,非都市土地使用編定,租賃年月日,租賃筆棟數,租賃層次,總樓層數,建物型態,主要用途,主要建材,建築完成年月,建物總面積平方公尺,建物現況格局-房,建物現況格局-廳,建物現況格局-衛,建物現況格局-隔間,有無管理組織,有無附傢俱,總額元,單價元平方公尺,車位類別,車位面積平方公尺,車位總額元,備註,編號
The villages and towns urban district,transaction sign,land sector position building sector house number plate,land shifting total area square meter,the use zoning or compiles and checks,the non-metropolis land use district,non-metropolis land use,transaction year month and day,transaction pen number,shifting level,total floor number,building state,main use,main building materials,construction to complete the years,building shifting total area,Building present situation pattern - room,building present situation pattern - hall,building present situation pattern - health,building present situation pattern - compartmented,Whether there is manages the organization,Whether there is attaches the furniture,total price NTD,the unit price (NTD / square meter),the berth category,berth shifting total area square meter,the berth total price NTD,the note,serial number
汐止區,房地(土地+建物)+車位,新北市汐止區忠孝東路391~420號,24.71,住,,,1090915,土地1建物1車位0,十七層,22,住宅大樓(11層含以上有電梯),見其他登記事項,見其他登記事項,1080429,184.34,3,2,2,有,有,無,30000,163,坡道平面,35.86,0,,RPWNMLOKIIPFFDF98CC
樹林區,建物,新北市樹林區忠孝街1~30號,0.0,住,,,1090926,土地0建物1車位0,三層,3,公寓(5樓含以下無電梯),住家用,鋼筋混凝土造,0670107,85.27,3,2,1,有,無,無,15000,176,,0.0,0,,RPTSMLOKIIPFFIF07CC
新店區,車位,新北市新店區溪園路241~270號,0.0,住,,,1090925,土地0建物0車位1,,,其他,,,,29.87,0,0,0,有,有,無,3300,,坡道平面,29.87,3300,租金含管理費。,RPUPMLOKIIPFFCF88CC
淡水區,房地(土地+建物),新北市淡水區新民街162巷1~30號,22.71,住,,,1090905,土地1建物1車位0,二層,5,公寓(5樓含以下無電梯),住家用,鋼筋混凝土造,0840626,73.06,4,0,4,有,無,有,5500,75,,0.0,0,,RPTOMLOKIIPFFEF09EC
三峽區,房地(土地+建物),新北市三峽區民生街27巷1~30號,2.53,住,,,1090921,土地1建物1車位0,六層,16,套房(1房1廳1衛),住家用,鋼筋混凝土造,0850401,25.96,1,1,1,有,有,有,9000,347,,0.0,0,,RPOPMLPKIIPFFIF98CC
中和區,建物,新北市中和區成功路121~150號,0.0,住,,,1090926,土地0建物1車位1,十層,33,住宅大樓(11層含以上有電梯),住家用,鋼骨鋼筋混凝土造,0860322,83.81,2,2,1,有,有,有,24300,290,坡道機械,0.0,0,租金含管理費。車位面積無法分算。,RPPOMLPKIIPFFHF88CC
中和區,建物,新北市中和區中正路841~870號,0.0,工,,,1090924,土地0建物1車位0,六層,17,辦公商業大樓,見其他登記事項,見其他登記事項,0890930,344.03,1,0,0,無,有,無,77012,224,,0.0,0,,RPSPMLPKIIPFFHF66CC
三重區,建物,新北市三重區力行路一段31~60號,0.0,住,,,1091003,土地0建物0車位0,四層,5,套房(1房1廳1衛),住家用,鋼筋混凝土造,0701228,13.0,1,0,1,有,無,有,8800,677,,0.0,0,此為分租套房，第4層共分成8間，一間平均面積約為13平方公尺,RPRPMLPKIIPFFGF09CC
三重區,建物,新北市三重區自強路四段31巷1~30號,0.0,住,,,1091009,土地0建物0車位0,五層,5,套房(1房1廳1衛),住家用,鋼筋混凝土造,0700930,15.6,1,0,1,有,無,有,6000,385,,0.0,0,此為分租套房，第五層共分成5間，一間平均面積約為15.6平方公尺。,RPUPMLPKIIPFFGF76CC
三重區,建物,新北市三重區自強路四段31巷1~30號,0.0,住,,,1091009,土地0建物0車位0,五層,5,套房(1房1廳1衛),住家用,鋼筋混凝土造,0700930,15.6,1,0,1,有,無,有,6500,417,,0.0,0,此為分租套房，第五層共分成5間，一間平均面積約為15.6平方公尺。,RPXPMLPKIIPFFGF07CC
淡水區,房地(土地+建物)+車位,新北市淡水區新市一路一段331~360號,32.14,住,,,1091014,土地1建物1車位1,六層,13,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,1040819,178.06,3,2,2,有,有,有,26000,146,坡道平面,29.61,0,,RPWNMLPKIIPFFEF56CC
土城區,土地,樂利段901~930地號,62.14,住,,,1091007,土地3建物0車位0,,,其他,,,,0.0,0,0,0,有,有,無,100000,1609,,0.0,0,含增建或未登記建物。;,RPXOMLPKIIPFFAF98CC
板橋區,建物,新北市板橋區大仁街53巷1~30號,0.0,住,,,1091011,土地0建物0車位0,五層,5,套房(1房1廳1衛),住家用,鋼筋混凝土造,0700504,22.26,1,0,1,有,無,有,8500,382,,0.0,0,此為分租套房，第5層共分成4間，一間平均面積約為22.26平方公尺。,RPRRMLPKIIPFFAF68CC
土城區,建物,新北市土城區學府路一段151~180號,0.0,其他,,,1090921,土地0建物1車位0,一層,14,店面(店鋪),見其他登記事項,鋼筋混凝土造,0890906,316.3,0,0,0,無,有,無,160000,506,,0.0,0,租金調整:第1-3年每月16萬元.第4-5年每月164800元,RPXTMLPKIIPFFAF86CC
新莊區,建物,新北市新莊區天祥街1~30號,0.0,住,,,1090925,土地0建物1車位0,見其他登記事項,13,店面(店鋪),見其他登記事項,鋼筋混凝土造,1031020,204.15,0,1,0,有,有,無,61500,301,,0.0,0,含管理費、稅金或水電等費用。;,RPUOMLPKIIPFFBF78CC
林口區,房地(土地+建物),新北市林口區文化二路一段68巷1~30號,5.15,住,,,1091013,土地1建物1車位0,二層,10,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,0850126,29.09,1,1,1,有,無,有,11000,378,,0.0,0,,RPPPMLPKIIPFFBF38CC
林口區,房地(土地+建物)+車位,新北市林口區仁愛路一段667巷1~30號,94.54,住,,,1091012,土地1建物1車位1,全,3,透天厝,住家用,鋼筋混凝土造,0960623,200.45999999999998,3,2,2,有,有,有,38000,190,坡道平面,0.0,0,含管理費,RPQQMLPKIIPFFBF58CC
林口區,房地(土地+建物)+車位,新北市林口區仁愛二路61~90號,19.05,住,,,1091016,土地1建物1車位1,八層,15,住宅大樓(11層含以上有電梯),見其他登記事項,鋼筋混凝土造,1021129,162.45,3,2,2,有,有,有,25000,154,坡道平面,0.0,0,含管理費,RPTSMLQKIIPFFBF56CC
五股區,建物,新北市五股區芳洲路31~60號,0.0,住,,,1090919,土地0建物1車位0,七層,15,住宅大樓(11層含以上有電梯),見其他登記事項,鋼筋混凝土造,1040824,72.84,1,1,1,有,有,有,14300,196,,0.0,0,國家住宅及都市更新中心辦理社會住宅包租代管第2期計畫,RPRTMLQKIIPFFBF09CC
五股區,建物,新北市五股區新城五路1~30號,0.0,住,,,1090920,土地0建物1車位1,七層,14,住宅大樓(11層含以上有電梯),見其他登記事項,鋼筋混凝土造,1030402,127.15,2,2,1,有,有,有,15700,129,坡道平面,28.6,3000,國家住宅及都市更新中心辦理社會住宅包租代管第2期計畫,RPVTMLQKIIPFFBF86CC
八里區,建物,新北市八里區中華路二段258巷1~30號,0.0,住,,,1091015,土地0建物1車位0,七層,8,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,0820111,164.81,3,2,2,有,有,有,14800,90,,0.0,0,,RPOQMLQKIIPFFEF78CC
